,Community,Disease,Shared genes,Disease genes,Community size,Ratio disease,Ratio community,Relevance
27,0,Hypoplastic mandible condyle,24,313,988,0.07667731629392971,0.024291497975708502,0.0018626068735367542
28,0,Retrusion of lower jaw,24,313,988,0.07667731629392971,0.024291497975708502,0.0018626068735367542
29,0,Rhabdomyosarcoma,34,314,988,0.10828025477707007,0.03441295546558704,0.0037262435854457307
30,0,Adenocarcinoma of lung (disorder),125,867,988,0.14417531718569782,0.12651821862348178,0.018240804299809947
31,0,Cytopenia,33,173,988,0.1907514450867052,0.03340080971659919,0.00637125272050736
32,0,Primary microcephaly,2,104,988,0.019230769230769232,0.0020242914979757085,3.892868265337901e-05
33,0,Mental Retardation,66,846,988,0.07801418439716312,0.06680161943319839,0.005211473856490655
34,0,Low set ears,19,237,988,0.08016877637130802,0.019230769230769232,0.0015417072379097698
35,0,Hematologic Neoplasms,72,426,988,0.16901408450704225,0.0728744939271255,0.012316815875007126
36,0,Hepatocarcinogenesis,54,404,988,0.13366336633663367,0.05465587044534413,0.007305487633783622
37,0,Squamous cell carcinoma,176,1333,988,0.13203300825206302,0.17813765182186234,0.023520050052999078
38,0,Congenital anemia,33,173,988,0.1907514450867052,0.03340080971659919,0.00637125272050736
39,0,Anaplastic carcinoma,32,170,988,0.18823529411764706,0.032388663967611336,0.006096689688020958
40,0,Short nose,20,151,988,0.13245033112582782,0.020242914979757085,0.002681180792020806
41,0,Sarcoma,54,495,988,0.10909090909090909,0.05465587044534413,0.005962458594037542
42,0,Undifferentiated carcinoma,34,194,988,0.17525773195876287,0.03441295546558704,0.006031136524896698
43,0,invasive cancer,21,141,988,0.14893617021276595,0.02125506072874494,0.0031656473425790334
44,0,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,38,318,988,0.11949685534591195,0.038461538461538464,0.004596032897919691
45,0,Feeding difficulties,22,195,988,0.11282051282051282,0.022267206477732792,0.002512197653898059
46,0,Small nose,20,148,988,0.13513513513513514,0.020242914979757085,0.0027355290513185254
47,0,Malignant neoplasm of esophagus,83,504,988,0.16468253968253968,0.0840080971659919,0.013834666795193112
48,0,Pancreatic Neoplasm,69,498,988,0.13855421686746988,0.06983805668016195,0.009676357250865813
49,0,Congenital Epicanthus,14,206,988,0.06796116504854369,0.01417004048582996,0.000963012460202036
50,0,Generalized hypotonia,37,475,988,0.07789473684210527,0.03744939271255061,0.0029171105902407843
51,0,Byzanthine arch palate,18,224,988,0.08035714285714286,0.018218623481781375,0.0014639965297860034
52,0,Endometrial Neoplasms,15,193,988,0.07772020725388601,0.015182186234817813,0.0011799626607371357
53,0,"Carcinoma, Spindle-Cell",30,156,988,0.19230769230769232,0.030364372469635626,0.005839302398006852
54,0,Tumor Initiation,29,190,988,0.15263157894736842,0.029352226720647773,0.004480076709993608
55,0,Hypotrophic malar bone,9,135,988,0.06666666666666667,0.009109311740890687,0.0006072874493927125
56,0,Malar flattening,9,135,988,0.06666666666666667,0.009109311740890687,0.0006072874493927125
57,0,Muscle Spasticity,20,276,988,0.07246376811594203,0.020242914979757085,0.0014668778970838468
58,0,Neurodegenerative Disorders,55,552,988,0.09963768115942029,0.05566801619433198,0.005546632048348295
59,0,Depressed nasal bridge,16,221,988,0.07239819004524888,0.016194331983805668,0.001172440324619415
60,0,Diffuse Large B-Cell Lymphoma,58,433,988,0.13394919168591224,0.058704453441295545,0.007863414086824807
61,0,Stomach Neoplasms,100,614,988,0.16286644951140064,0.10121457489878542,0.016484458452570915
62,0,High forehead,8,115,988,0.06956521739130435,0.008097165991902834,0.0005632811124801971
63,0,Leukemogenesis,72,541,988,0.133086876155268,0.0728744939271255,0.009698638748157183
64,0,Long philtrum,15,157,988,0.09554140127388536,0.015182186234817813,0.0014505273472755873
65,0,Glioblastoma,189,1365,988,0.13846153846153847,0.19129554655870445,0.02648707567735908
66,0,Traditional Serrated Adenoma,10,84,988,0.11904761904761904,0.010121457489878543,0.0012049354154617313
67,0,Medulloblastoma,59,443,988,0.13318284424379231,0.0597165991902834,0.007953226528728489
68,0,Epileptic encephalopathy,31,357,988,0.08683473389355742,0.03137651821862348,0.002724571610020526
69,0,Concave bridge of nose,16,219,988,0.0730593607305936,0.016194331983805668,0.0011831475421958477
70,0,Depressed nasal root/bridge,16,219,988,0.0730593607305936,0.016194331983805668,0.0011831475421958477
71,0,B-Cell Lymphomas,76,540,988,0.14074074074074075,0.07692307692307693,0.010826210826210828
72,0,Multiple malignancy,18,146,988,0.1232876712328767,0.018218623481781375,0.0022461316621374297
73,0,MYELODYSPLASTIC SYNDROME,85,507,988,0.16765285996055226,0.0860323886639676,0.014423576008751965
74,0,Malignant Neoplasms,158,1025,988,0.15414634146341463,0.15991902834008098,0.024650933149007605
75,0,"Leukemia, Myelocytic, Acute",171,1204,988,0.1420265780730897,0.17307692307692307,0.024581523128034754
76,0,Bulging forehead,6,92,988,0.06521739130434782,0.006072874493927126,0.0003960570322126386
77,0,Prominent forehead,6,92,988,0.06521739130434782,0.006072874493927126,0.0003960570322126386
78,0,Solid Neoplasm,85,615,988,0.13821138211382114,0.0860323886639676,0.011890655343800401
79,0,Large auricle,11,114,988,0.09649122807017543,0.011133603238866396,0.0010742950493643013
80,0,Large pinnae,11,114,988,0.09649122807017543,0.011133603238866396,0.0010742950493643013
81,0,Macrotia,11,114,988,0.09649122807017543,0.011133603238866396,0.0010742950493643013
82,0,Curvature of spine,32,313,988,0.10223642172523961,0.032388663967611336,0.003311301108509785
83,0,Acquired scoliosis,32,320,988,0.1,0.032388663967611336,0.003238866396761134
84,0,Failure to gain weight,32,405,988,0.07901234567901234,0.032388663967611336,0.0025591043134902784
85,0,Retinoblastoma,52,405,988,0.12839506172839507,0.05263157894736842,0.006757634827810267
86,0,Ventricular Septal Defects,20,182,988,0.10989010989010989,0.020242914979757085,0.002224496151621658
87,0,Ataxia Telangiectasia,32,304,988,0.10526315789473684,0.032388663967611336,0.0034093330492222457
88,0,Carcinomatosis,28,145,988,0.19310344827586207,0.02834008097165992,0.005472567360044674
89,0,Esophageal carcinoma,87,506,988,0.17193675889328064,0.08805668016194332,0.015140180185946777
90,0,Malignant neoplasm of skin,29,240,988,0.12083333333333333,0.029352226720647773,0.0035467273954116058
91,0,Cryptorchidism,24,316,988,0.0759493670886076,0.024291497975708502,0.0018449238968892535
92,0,Carcinoma,28,174,988,0.16091954022988506,0.02834008097165992,0.004560472800037229
93,0,Posteriorly rotated ear,7,98,988,0.07142857142857142,0.00708502024291498,0.0005060728744939271
94,0,Decreased projection of midface,7,131,988,0.05343511450381679,0.00708502024291498,0.0003785888679420218
95,0,Hypotrophic midface,7,131,988,0.05343511450381679,0.00708502024291498,0.0003785888679420218
96,0,Midface retrusion,7,131,988,0.05343511450381679,0.00708502024291498,0.0003785888679420218
97,0,Small midface,7,131,988,0.05343511450381679,0.00708502024291498,0.0003785888679420218
98,0,Refractory cancer,15,145,988,0.10344827586206896,0.015182186234817813,0.0015705709898087392
99,0,Pediatric failure to thrive,33,406,988,0.0812807881773399,0.03340080971659919,0.0027148441395265354
100,0,Cutaneous Melanoma,28,235,988,0.11914893617021277,0.02834008097165992,0.0033766904987509692
101,0,Triangular face,6,77,988,0.07792207792207792,0.006072874493927126,0.000473210999526789
102,0,Undergrowth,32,396,988,0.08080808080808081,0.032388663967611336,0.0026172657751605123
103,0,Burkitt Lymphoma,46,310,988,0.14838709677419354,0.0465587044534413,0.00690871098341387
104,0,Breast adenocarcinoma,17,138,988,0.12318840579710146,0.01720647773279352,0.0021196385612861587
105,0,Hydrocephalus,13,200,988,0.065,0.013157894736842105,0.0008552631578947369
106,0,Esophageal Neoplasms,83,470,988,0.17659574468085107,0.0840080971659919,0.014835472478249635
107,0,Dilated ventricles (finding),12,164,988,0.07317073170731707,0.012145748987854251,0.0008887133405747012
108,0,Short neck,16,164,988,0.0975609756097561,0.016194331983805668,0.001579934827688358
109,0,Anaplastic astrocytoma,12,136,988,0.08823529411764706,0.012145748987854251,0.001071683734222434
110,0,Hereditary Diffuse Gastric Cancer,45,233,988,0.19313304721030042,0.04554655870445344,0.008796545672533925
111,0,Colorectal Neoplasms,106,769,988,0.1378413524057217,0.10728744939271255,0.014788647120451925
112,0,Squamous cell carcinoma of the head and neck,105,674,988,0.15578635014836795,0.1062753036437247,0.01655624166556542
113,0,Glioblastoma Multiforme,91,619,988,0.1470113085621971,0.09210526315789473,0.013540515262307627
114,0,Joint hyperflexibility,4,97,988,0.041237113402061855,0.004048582995951417,0.0001669518761217079
115,0,Astrocytoma,59,541,988,0.10905730129390019,0.0597165991902834,0.006512531150141813
116,0,Malignant neoplasm of breast,576,3424,988,0.16822429906542055,0.582995951417004,0.09807408528510347
117,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",29,196,988,0.14795918367346939,0.029352226720647773,0.00434293150458564
118,0,Hyperreflexia,13,233,988,0.055793991416309016,0.013157894736842105,0.0007341314660040659
119,0,Rash and Dermatitis Adverse Event Associated with Chemoradiation,12,86,988,0.13953488372093023,0.012145748987854251,0.001694755672723849
120,0,Fanconi Anemia,34,225,988,0.1511111111111111,0.03441295546558704,0.0052001799370220425
121,0,Acquired flat foot,4,89,988,0.0449438202247191,0.004048582995951417,0.00018195878633489514
122,0,Patent ductus arteriosus,19,197,988,0.09644670050761421,0.019230769230769232,0.0018547442405310425
123,0,Cerebellar Hypoplasia,6,119,988,0.05042016806722689,0.006072874493927126,0.0003061953526349811
124,0,Disease Exacerbation,33,119,988,0.2773109243697479,0.03340080971659919,0.00926240941720818
125,0,Malignant neoplasm of pancreas,183,1290,988,0.14186046511627906,0.18522267206477733,0.02627577440918934
126,0,Smooth philtrum,2,58,988,0.034482758620689655,0.0020242914979757085,6.980315510261064e-05
127,0,Clinodactyly of the 5th finger,5,130,988,0.038461538461538464,0.005060728744939271,0.00019464341326689506
128,0,Radial club hand,10,54,988,0.18518518518518517,0.010121457489878543,0.0018743439796071375
129,0,"Myeloid Leukemia, Chronic",100,632,988,0.15822784810126583,0.10121457489878542,0.016014964382719214
130,0,Motor Neuron Disease,16,112,988,0.14285714285714285,0.016194331983805668,0.002313475997686524
131,0,Epithelial ovarian cancer,142,940,988,0.15106382978723404,0.1437246963562753,0.021711603066586267
132,0,Bladder Neoplasm,138,864,988,0.1597222222222222,0.1396761133603239,0.022309379217273953
133,0,Epithelioma,28,230,988,0.12173913043478261,0.02834008097165992,0.0034500968139412076
134,0,Penile hypospadias,9,145,988,0.06206896551724138,0.009109311740890687,0.0005654055563311461
135,0,Atrial Septal Defects,14,134,988,0.1044776119402985,0.01417004048582996,0.0014804519910568614
136,0,Mammary Tumorigenesis,18,142,988,0.1267605633802817,0.018218623481781375,0.002309402976563836
137,0,Curvature of little finger,5,128,988,0.0390625,0.005060728744939271,0.00019768471659919028
138,0,Delayed bone age,9,147,988,0.061224489795918366,0.009109311740890687,0.0005577129637280013
139,0,Neoplasm Invasiveness,19,147,988,0.1292517006802721,0.019230769230769232,0.0024856096284667714
140,0,Pancreatic carcinoma,181,1303,988,0.13891020721412126,0.18319838056680163,0.02544812500582586
141,0,leukemia,191,1351,988,0.14137675795706883,0.19331983805668015,0.027330931953239015
142,0,Acute Promyelocytic Leukemia,57,354,988,0.16101694915254236,0.057692307692307696,0.009289439374185136
143,0,Malignant tumor of colon,223,1391,988,0.16031631919482386,0.2257085020242915,0.03618475625551186
144,0,Bloom Syndrome,6,70,988,0.08571428571428572,0.006072874493927126,0.0005205320994794679
145,0,Carcinogenesis,428,2764,988,0.1548480463096961,0.4331983805668016,0.06707992289529345
146,0,Colonic Neoplasms,80,563,988,0.14209591474245115,0.08097165991902834,0.011505742084409
147,0,Blast Phase,18,169,988,0.10650887573964497,0.018218623481781375,0.0019404451045684306
148,0,Fibrosarcoma,21,229,988,0.09170305676855896,0.02125506072874494,0.0019491540406272653
149,0,Broad forehead,7,82,988,0.08536585365853659,0.00708502024291498,0.0006048188012244495
150,0,Acute leukemia,49,365,988,0.13424657534246576,0.04959514170040486,0.0066579779269036665
151,0,Noninfiltrating Intraductal Carcinoma,30,221,988,0.13574660633484162,0.030364372469635626,0.00412186051624013
152,0,Flatfoot,4,91,988,0.04395604395604396,0.004048582995951417,0.00017795969212973264
153,0,Convex nasal ridge,3,47,988,0.06382978723404255,0.003036437246963563,0.00019381514342320613
154,0,Adenomatous Polyposis Coli,43,295,988,0.14576271186440679,0.043522267206477734,0.006343923694503534
155,0,Carcinoma breast stage IV,35,295,988,0.11864406779661017,0.0354251012145749,0.004202978110203801
156,0,melanoma,253,1692,988,0.1495271867612293,0.2560728744939271,0.03828985652893827
157,0,Lung Neoplasms,112,834,988,0.1342925659472422,0.11336032388663968,0.015223448771347294
158,0,Frontal bossing,17,170,988,0.1,0.01720647773279352,0.0017206477732793523
159,0,Embryonal Rhabdomyosarcoma,9,78,988,0.11538461538461539,0.009109311740890687,0.0010510744316412333
160,0,Hyperkeratosis,9,105,988,0.08571428571428572,0.009109311740890687,0.0007807981492192017
161,0,Neuroblastoma,163,1185,988,0.13755274261603376,0.16497975708502025,0.02269341806317156
162,0,Retrognathia,7,99,988,0.0707070707070707,0.00708502024291498,0.0005009610272768167
163,0,Primary malignant neoplasm,110,735,988,0.14965986394557823,0.11133603238866396,0.01666253545952794
164,0,Malignant neoplasm of urinary bladder,125,811,988,0.15413070283600494,0.12651821862348178,0.019500341957996575
165,0,Malignant neoplasm of ovary,210,1404,988,0.14957264957264957,0.2125506072874494,0.031791757500259525
166,0,Amyotrophic Lateral Sclerosis,60,480,988,0.125,0.06072874493927125,0.0075910931174089065
167,0,Acute lymphocytic leukemia,83,649,988,0.12788906009244994,0.0840080971659919,0.010743716586713912
168,0,Ewings sarcoma,47,266,988,0.17669172932330826,0.04757085020242915,0.008405375787647254
169,0,Decreased platelet count,8,123,988,0.06504065040650407,0.008097165991902834,0.000526644942562786
170,0,Malignant Glioma,50,372,988,0.13440860215053763,0.05060728744939271,0.006802054764703321
171,0,Respiratory Failure,14,147,988,0.09523809523809523,0.01417004048582996,0.001349527665317139
172,0,"Genetic Diseases, Inborn",22,374,988,0.058823529411764705,0.022267206477732792,0.0013098356751607525
173,0,Neoplasm of uncertain or unknown behavior of breast,5,41,988,0.12195121951219512,0.005060728744939271,0.0006171620420657648
174,0,Delayed speech and language development,13,172,988,0.0755813953488372,0.013157894736842105,0.0009944920440636473
175,0,Disseminated Malignant Neoplasm,23,154,988,0.14935064935064934,0.02327935222672065,0.0034767863715232136
176,0,Hypospadias,10,154,988,0.06493506493506493,0.010121457489878543,0.0006572374993427624
177,0,Monosomy,17,119,988,0.14285714285714285,0.01720647773279352,0.0024580682475419317
178,0,Malignant neoplasm of mouth,44,363,988,0.12121212121212122,0.044534412955465584,0.005398110661268556
179,0,Pancreatic Ductal Adenocarcinoma,67,507,988,0.13214990138067062,0.06781376518218624,0.008961582381077866
180,0,Feeding difficulties in infancy,13,181,988,0.0718232044198895,0.013157894736842105,0.0009450421634195986
181,0,Myeloid Leukemia,41,369,988,0.1111111111111111,0.04149797570850203,0.004610886189833558
182,0,"Acute Myeloid Leukemia, M1",11,96,988,0.11458333333333333,0.011133603238866396,0.0012757253711201079
183,0,Central neuroblastoma,165,1152,988,0.14322916666666666,0.16700404858299595,0.02391985070850202
184,0,"Carcinoma, Papillary",25,154,988,0.16233766233766234,0.025303643724696356,0.004107734370892266
185,0,Tumor Progression,210,1443,988,0.14553014553014554,0.2125506072874494,0.030932520811063326
186,0,Hematopoetic Myelodysplasia,8,35,988,0.22857142857142856,0.008097165991902834,0.0018507807981492192
187,0,Carcinoma of bladder,128,819,988,0.1562881562881563,0.12955465587044535,0.020247858304538468
188,0,Hemoglobin low,20,140,988,0.14285714285714285,0.020242914979757085,0.002891844997108155
189,0,Intrahepatic Cholangiocarcinoma,18,140,988,0.12857142857142856,0.018218623481781375,0.0023423944476576052
190,0,Postnatal growth retardation,6,73,988,0.0821917808219178,0.006072874493927126,0.0004991403693638733
191,0,Thin upper lip vermilion,8,102,988,0.0784313725490196,0.008097165991902834,0.0006350718425021831
192,0,Malignant Head and Neck Neoplasm,40,346,988,0.11560693641618497,0.04048582995951417,0.004680442769886032
193,0,Colon Carcinoma,238,1442,988,0.1650485436893204,0.2408906882591093,0.03975865728548406
194,0,Hypertrophic Cardiomyopathy,19,247,988,0.07692307692307693,0.019230769230769232,0.0014792899408284025
195,0,Mucoepidermoid Carcinoma,7,60,988,0.11666666666666667,0.00708502024291498,0.0008265856950067477
196,0,Thin lips,4,60,988,0.06666666666666667,0.004048582995951417,0.0002699055330634278
197,0,Lip and Oral Cavity Carcinoma,42,348,988,0.1206896551724138,0.04251012145748988,0.005130531900041882
198,0,Increased head circumference,11,167,988,0.0658682634730539,0.011133603238866396,0.000733351111542098
199,0,Ependymoma,20,104,988,0.19230769230769232,0.020242914979757085,0.0038928682653379012
200,0,Adult Hepatocellular Carcinoma,9,81,988,0.1111111111111111,0.009109311740890687,0.001012145748987854
201,0,Childhood Medulloblastoma,3,78,988,0.038461538461538464,0.003036437246963563,0.00011678604796013703
202,0,Uterine Cancer,4,56,988,0.07142857142857142,0.004048582995951417,0.0002891844997108155
203,0,Speech impairment,11,156,988,0.07051282051282051,0.011133603238866396,0.0007850617668431433
204,0,Alveolar rhabdomyosarcoma,5,59,988,0.0847457627118644,0.005060728744939271,0.00042887531736773485
205,0,Neurofibromatosis 1,17,163,988,0.10429447852760736,0.01720647773279352,0.0017945406224385882
206,0,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",45,261,988,0.1724137931034483,0.04554655870445344,0.007852854949043697
207,0,Class III malocclusion,11,89,988,0.12359550561797752,0.011133603238866396,0.0013760633216576444
208,0,"Mammary Neoplasms, Experimental",23,127,988,0.18110236220472442,0.02327935222672065,0.004215945678854921
209,0,Increased size of the mandible,10,86,988,0.11627906976744186,0.010121457489878543,0.001176913661613784
210,0,Big calvaria,10,165,988,0.06060606060606061,0.010121457489878543,0.0006134216660532451
211,0,Increased size of skull,10,165,988,0.06060606060606061,0.010121457489878543,0.0006134216660532451
212,0,Neoplasm of uncertain or unknown behavior of ovary,6,33,988,0.18181818181818182,0.006072874493927126,0.001104158998895841
213,0,"Mammary Carcinoma, Animal",25,116,988,0.21551724137931033,0.025303643724696356,0.005453371492391456
214,0,Animal Mammary Neoplasms,25,116,988,0.21551724137931033,0.025303643724696356,0.005453371492391456
215,0,Ductal Carcinoma,17,177,988,0.096045197740113,0.01720647773279352,0.001652599556257005
216,0,Anoxia,28,218,988,0.12844036697247707,0.02834008097165992,0.0036400104000297146
217,0,Familial Alzheimer Disease (FAD),17,147,988,0.11564625850340136,0.01720647773279352,0.001989864771819659
218,0,Adenocarcinoma,191,1186,988,0.16104553119730186,0.19331983805668015,0.031133296010814427
219,0,Liver and Intrahepatic Biliary Tract Carcinoma,60,439,988,0.1366742596810934,0.06072874493927125,0.008300056255936845
220,0,Thyroid carcinoma,66,517,988,0.1276595744680851,0.06680161943319839,0.00852786631062107
221,0,Deep philtrum,2,28,988,0.07142857142857142,0.0020242914979757085,0.00014459224985540774
222,0,Down Syndrome,37,348,988,0.10632183908045977,0.03744939271255061,0.003981688305644748
223,0,Epilepsy,82,826,988,0.09927360774818401,0.08299595141700405,0.008239307525658999
224,0,Female Breast Carcinoma,5,44,988,0.11363636363636363,0.005060728744939271,0.0005750828119249171
225,0,Malignant Childhood Neoplasm,9,73,988,0.1232876712328767,0.009109311740890687,0.0011230658310687148
226,0,Squamous cell carcinoma of lung,41,214,988,0.19158878504672897,0.04149797570850203,0.007950546747890575
227,0,Secondary malignant neoplasm of lymph node,146,889,988,0.16422947131608548,0.14777327935222673,0.024268727542660407
228,0,liposarcoma,14,104,988,0.1346153846153846,0.01417004048582996,0.0019075054500155713
229,0,"Carcinoma, Transitional Cell",33,295,988,0.11186440677966102,0.03340080971659919,0.0037363617649077063
230,0,Leukodystrophy,19,158,988,0.12025316455696203,0.019230769230769232,0.0023125608568646547
231,0,Primary malignant neoplasm of lung,242,1556,988,0.15552699228791775,0.24493927125506074,0.038094668151494024
232,0,Brain Neoplasms,52,465,988,0.11182795698924732,0.05263157894736842,0.00588568194680249
233,0,Hereditary Malignant Neoplasm,6,54,988,0.1111111111111111,0.006072874493927126,0.0006747638326585695
234,0,Atrial Premature Complexes,13,87,988,0.14942528735632185,0.013157894736842105,0.0019661222020568663
235,0,Acute Myeloid Leukemia (AML-M2),10,98,988,0.10204081632653061,0.010121457489878543,0.001032801784681484
236,0,Malignant neoplasm of thyroid,54,368,988,0.14673913043478262,0.05465587044534413,0.008020154902305933
237,0,Hypertrophy of lower jaw,10,84,988,0.11904761904761904,0.010121457489878543,0.0012049354154617313
238,0,mandibular excess (physical finding),10,84,988,0.11904761904761904,0.010121457489878543,0.0012049354154617313
239,0,Mandibular hyperplasia,10,84,988,0.11904761904761904,0.010121457489878543,0.0012049354154617313
240,0,Diffuse Astrocytoma,4,57,988,0.07017543859649122,0.004048582995951417,0.00028411108743518716
241,0,Central Serous Chorioretinopathy,13,81,988,0.16049382716049382,0.013157894736842105,0.002111760883690708
242,0,synovial sarcoma,20,167,988,0.11976047904191617,0.020242914979757085,0.002424301195180489
243,0,Depressed philtrum,2,27,988,0.07407407407407407,0.0020242914979757085,0.000149947518368571
244,0,Spinal Muscular Atrophy,18,152,988,0.11842105263157894,0.018218623481781375,0.0021574685702109523
245,0,Cerebral atrophy,26,252,988,0.10317460317460317,0.02631578947368421,0.0027151211361737676
246,0,Breast Carcinoma,552,3337,988,0.1654180401558286,0.5587044534412956,0.0924197957145925
247,0,Upward slant of palpebral fissure,8,100,988,0.08,0.008097165991902834,0.0006477732793522267
248,0,Language Delay,11,159,988,0.06918238993710692,0.011133603238866396,0.0007702492806762915
249,0,Precursor Cell Lymphoblastic Leukemia Lymphoma,53,445,988,0.11910112359550562,0.053643724696356275,0.006389027885184006
250,0,Promyelocytic leukemia,27,178,988,0.15168539325842698,0.027327935222672066,0.0041452486011918305
251,0,"Low-set, posteriorly rotated ears",7,118,988,0.059322033898305086,0.00708502024291498,0.00042029781102038017
252,0,Squamous cell carcinoma of esophagus,99,720,988,0.1375,0.10020242914979757,0.013777834008097168
253,0,Progressive microcephaly,6,46,988,0.13043478260869565,0.006072874493927126,0.0007921140644252772
254,0,Frontotemporal dementia,23,115,988,0.2,0.02327935222672065,0.00465587044534413
255,0,Convex nasal bridge,6,71,988,0.08450704225352113,0.006072874493927126,0.0005132006614586303
256,0,Prominent nasal bridge,6,71,988,0.08450704225352113,0.006072874493927126,0.0005132006614586303
257,0,mixed gliomas,5,62,988,0.08064516129032258,0.005060728744939271,0.0004081232858821993
258,0,Skin Carcinogenesis,8,107,988,0.07476635514018691,0.008097165991902834,0.0006053955881796511
259,0,Skin Neoplasms,23,194,988,0.11855670103092783,0.02327935222672065,0.002759923202136984
260,0,Tumor Promotion,7,88,988,0.07954545454545454,0.00708502024291498,0.0005635811556864188
261,0,Death in early childhood,12,85,988,0.1411764705882353,0.012145748987854251,0.0017146939747558943
262,0,Hypoplasia of corpus callosum,12,145,988,0.08275862068965517,0.012145748987854251,0.0010051654334775932
263,0,"Carcinoma, Cribriform",12,93,988,0.12903225806451613,0.012145748987854251,0.0015671934177876453
264,0,"Carcinoma, Granular Cell",12,93,988,0.12903225806451613,0.012145748987854251,0.0015671934177876453
265,0,Anaplastic thyroid carcinoma,16,137,988,0.11678832116788321,0.016194331983805668,0.0018913088448240195
266,0,Mitochondrial Diseases,22,283,988,0.07773851590106007,0.022267206477732792,0.0017310195848414184
267,0,Congenital chromosomal disease,32,361,988,0.0886426592797784,0.032388663967611336,0.002871017304608207
268,0,"Adenocarcinoma, Endometrioid",8,55,988,0.14545454545454545,0.008097165991902834,0.0011777695988222303
269,0,"Adenocarcinoma, Oxyphilic",13,98,988,0.1326530612244898,0.013157894736842105,0.001745435016111708
270,0,Basal cell carcinoma,10,87,988,0.11494252873563218,0.010121457489878543,0.001163385918376844
271,0,Microstomia,5,87,988,0.05747126436781609,0.005060728744939271,0.000290846479594211
272,0,Malignant neoplasm of female breast,4,45,988,0.08888888888888889,0.004048582995951417,0.0003598740440845704
273,0,Death in infancy,12,84,988,0.14285714285714285,0.012145748987854251,0.001735106998264893
274,0,Aplasia/Hypoplasia of the radius,4,34,988,0.11764705882352941,0.004048582995951417,0.0004763038818766373
275,0,Invasive Carcinoma,13,121,988,0.10743801652892562,0.013157894736842105,0.0014136581122227054
276,0,Adult Glioblastoma,20,146,988,0.136986301369863,0.020242914979757085,0.0027730020520215183
277,0,Kyphosis deformity of spine,14,131,988,0.10687022900763359,0.01417004048582996,0.0015143554717680873
278,0,Speech Delay,11,163,988,0.06748466257668712,0.011133603238866396,0.0007513474578376095
279,0,cervical cancer,100,679,988,0.14727540500736377,0.10121457489878542,0.014906417510866778
280,0,Muscle hypotonia,23,335,988,0.06865671641791045,0.02327935222672065,0.0015982838842226118
281,0,Prominent globes,15,110,988,0.13636363636363635,0.015182186234817813,0.0020702981229297015
282,0,Dysmorphic facies,4,72,988,0.05555555555555555,0.004048582995951417,0.00022492127755285648
